item_1,item_2,item_3,item_4,item_5,item_6,item_7,item_8,item_9,item_10,item_11,item_12,item_13,item_14,item_15,item_16,item_17,item_18,item_19,item_20,survey
4,5,2,2,1,1,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
1,4,4,2,3,3,2,4,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
3,3,4,3,4,4,4,3,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
2,4,5,3,3,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
2,1,1,1,2,1,1,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
2,3,3,3,1,2,1,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
2,4,1,3,2,2,3,3,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
3,4,4,3,2,1,3,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
2,3,3,2,2,2,1,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
1,3,4,5,5,5,3,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
5,4,4,5,4,3,4,3,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
2,4,3,4,3,2,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
5,2,2,5,5,5,3,5,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
3,3,4,3,3,2,4,3,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
3,4,4,4,3,3,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
3,2,4,3,3,3,3,4,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
3,5,5,4,4,3,3,4,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
3,3,5,4,2,2,2,3,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
1,2,3,1,2,1,1,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
1,4,2,2,1,1,2,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
1,5,5,4,2,1,2,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
3,4,4,4,3,4,2,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
2,2,2,3,2,2,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
4,5,4,4,4,2,4,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,panas_pos_1
